# count	accession	asmId	sciName	comName	taxId	bioSample	asmType	asmLevel	asmData	submitter	asmSize	maskedPerCent	primary/secondary	VGPClade
32	GCA_016904835.1	GCA_016904835.1_bAcaChl1.pri	Acanthisitta chloris	rifleman (primary hap 2021)	57068	SAMN16442762	haploid (principal pseudohaplotype of diploid)	Chromosome	17 Feb 2021	Vertebrate Genomes Project	 1,077,387,582	10.83	primary	birds
33	GCA_017639485.1	GCA_017639485.1_bPluApr1.pri	Pluvialis apricaria	European golden plover (primary hap 2021)	670352	SAMN18353970	haploid (principal pseudohaplotype of diploid)	Chromosome	30 Mar 2021	Vertebrate Genomes Project	 1,247,767,512	10.21	primary	birds
34	GCA_017639555.1	GCA_017639555.1_bCicMag1.pri	Ciconia maguari	maguari stork (primary hap 2021)	52777	SAMN18353822	haploid (principal pseudohaplotype of diploid)	Chromosome	30 Mar 2021	Vertebrate Genomes Project	 1,239,437,416	 8.11	primary	birds
35	GCA_017639645.1	GCA_017639645.1_bFalNau1.mat	Falco naumanni	lesser kestrel (alternate hap 2021)	148594	SAMN16870685	alternate-pseudohaplotype	Scaffold	30 Mar 2021	Vertebrate Genomes Project	 1,156,765,323	 9.26	secondary	birds
36	GCA_017639675.1	GCA_017639675.1_fAplTae1.pri	Aplochiton taeniatus	peladilla (primary hap 2021)	946358	SAMN12623621	haploid (principal pseudohaplotype of diploid)	Chromosome	30 Mar 2021	Vertebrate Genomes Project	   461,946,147	20.73	primary	fish
37	GCA_019207075.1	GCA_019207075.1_Bb-hap	Branchiostoma floridae x Branchiostoma belcheri	lancelets B.floridae x B.belcheri (bbbf 2021)	2700040	SAMN13907882	haploid	Chromosome	13 Jul 2021	University of Vienna	   405,532,174	36.80	primary	invertebrate
38	GCA_019677235.1	GCA_019677235.1_HNU_Msal_1.0	Micropterus salmoides	largemouth bass (2-A1 2021)	27706	SAMN15783178	haploid	Chromosome	19 Aug 2021	Henan Normal University, Pearl River Fisheries Research Institute, CAFS	   877,669,248	29.68	primary	fish
39	GCA_020510985.1	GCA_020510985.1_fPhoLeu1.pri	Pholidichthys leucotaenia	convict blenny (primary hap 2021)	390368	SAMN12623617	haploid (principal pseudohaplotype of diploid)	Chromosome	15 Oct 2021	G10K	 6,032,307,556	85.55	primary	fish
40	GCA_020740715.1	GCA_020740715.1_mJacJac1.pat.decon	Jaculus jaculus	lesser Egyptian jerboa (alternate hap 2021)	51337	SAMN20391724	alternate-pseudohaplotype	Scaffold	03 Nov 2021	Vertebrate Genomes Project	 2,595,216,862	42.83	secondary	mammals
41	GCA_020745685.1	GCA_020745685.1_fTauAds1.pri.cur	Tautogolabrus adspersus	cunner (primary hap 2021)	34787	SAMN22589422	haploid (principal pseudohaplotype of diploid)	Chromosome	05 Nov 2021	Vertebrate Genomes Project	   723,582,185	30.38	primary	fish
42	GCA_020745705.1	GCA_020745705.1_bHemCom1.pri.cur	Hemiprocne comata	whiskered treeswift (primary hap 2021)	243314	SAMN22588383	haploid (principal pseudohaplotype of diploid)	Chromosome	05 Nov 2021	Vertebrate Genomes Project	 1,164,813,063	12.42	primary	birds
43	GCA_020745765.1	GCA_020745765.1_sHemOce1.mat.decon	Hemiscyllium ocellatum	epaulette shark (alternate hap sHemOce1 2021)	170820	SAMN22550098	alternate-pseudohaplotype	Scaffold	05 Nov 2021	Vertebrate Genomes Project	 4,149,461,884	44.34	secondary	sharks
44	GCA_020745775.1	GCA_020745775.1_bTheCae1.pri.cur	Theristicus caerulescens	plumbeous ibis (primary hap 2021)	1118847	SAMN22550094	haploid (principal pseudohaplotype of diploid)	Chromosome	05 Nov 2021	Vertebrate Genomes Project	 1,203,372,763	 8.30	primary	birds
45	GCA_020746105.1	GCA_020746105.1_bTroSur1.pri.cur	Trogon surrucura	Suruca trogon (primary hap 2021)	297711	SAMN22550082	haploid (principal pseudohaplotype of diploid)	Chromosome	05 Nov 2021	Vertebrate Genomes Project	 1,165,749,515	12.78	primary	birds
46	GCA_020800305.1	GCA_020800305.1_bPorHoc1.mat.Z.cur	Porphyrio hochstetteri	South Island takahe (primary hap 2021)	439704	SAMN22550412	haploid (principal pseudohaplotype of diploid)	Chromosome	08 Nov 2021	Vertebrate Genomes Project	 1,270,294,353	18.07	primary	birds
47	GCA_020801775.1	GCA_020801775.1_bPorHoc1.pat.decon	Porphyrio hochstetteri	South Island takahe (alternate hap 2021)	439704	SAMN22550412	alternate-pseudohaplotype	Scaffold	08 Nov 2021	Vertebrate Genomes Project	 1,245,128,614	16.48	secondary	birds
48	GCA_020826835.1	GCA_020826835.1_mDicBic1.pat.decon	Diceros bicornis minor	black rhinoceros (alternate hap 2021)	77932	SAMN22047685	alternate-pseudohaplotype	Scaffold	10 Nov 2021	Vertebrate Genomes Project	 3,044,793,931	45.90	secondary	mammals
49	GCA_021292165.1	GCA_021292165.1_IOZ_Scro_1.0	Shinisaurus crocodilurus	Chinese crocodile lizard (Guangxi GXDGS128 2021)	52224	SAMN19072228	haploid	Chromosome	28 Dec 2021	Institute of Zoology, Chinese Academy of Sciences	 2,189,995,079	43.23	primary	reptiles
50	GCA_022682395.2	GCA_022682395.2_HLdesRot8B.1	Desmodus rotundus	common vampire bat (v2 HL8 alternate hap 2022 genbank)	9430	SAMN24116476	alternate-pseudohaplotype	Chromosome	24 Mar 2022	Bat1K	 1,969,917,660	31.12	secondary	mammals
51	GCA_022682495.2	GCA_022682495.2_HLdesRot8A.1	Desmodus rotundus	common vampire bat (v2 HL8 primary hap 2022 genbank)	9430	SAMN24116476	haploid (principal pseudohaplotype of diploid)	Chromosome	24 Mar 2022	Bat1K	 2,119,704,833	32.64	primary	mammals
52	GCA_023333525.2	GCA_023333525.2_rAspTig1.1.pri	Aspidoscelis tigris stejnegeri	San Diegan tiger whiptail (v1.1 HBS 135688 primary hap 2025)	2917703	SAMN25872408	haploid (principal pseudohaplotype of diploid)	Chromosome	05 Mar 2025	UCLA	 1,673,115,766	39.12	primary	reptiles
53	GCA_023637945.2	GCA_023637945.2_bPhaSup1.pri	Phaethornis superciliosus	long-tailed hermit (v2 PSU5 primary hap 2025)	46513	SAMN23532249	haploid	Chromosome	03 Feb 2025	The Max Planck Institute of Molecular Cell Biology and Genetics	 1,020,009,783	20.12	primary	birds
54	GCA_023851605.1	GCA_023851605.1_mTamTet1.pri	Tamandua tetradactyla	southern tamandua (mTamTet1 primary hap 2022)	48850	SAMN12612337	haploid (principal pseudohaplotype of diploid)	Chromosome	22 Jun 2022	Vertebrate Genomes Project	 3,205,741,135	45.80	primary	mammals
55	GCA_024206055.2	GCA_024206055.2_GGswu	Gallus gallus	chicken (Huxu 2023)	9031	SAMN20717417	haploid	Chromosome	09 Feb 2023	University of Vienna	 1,100,928,095	23.58	secondary	birds
56	GCA_024256435.1	GCA_024256435.1_CGAR_Hap1	Clarias gariepinus	North African catfish (Netherlands MV-2021 primary hap 2022)	13013	SAMN27021044	haploid (principal pseudohaplotype of diploid)	Chromosome	13 Jul 2022	Leibniz Institute for Farm Animal Biology (FBN)	   972,641,408	39.05	primary	fish
57	GCA_024256465.1	GCA_024256465.1_CGAR_Hap2	Clarias gariepinus	North African catfish (Netherlands MV-2021 alternate hap 2022)	13013	SAMN27021044	alternate-pseudohaplotype	Chromosome	13 Jul 2022	Leibniz Institute for Farm Animal Biology (FBN)	   954,244,515	38.53	secondary	fish
58	GCA_024294585.1	GCA_024294585.1_rVipLat1.pri	Vipera latastei	Lataste's viper (primary hap 2022)	246179	SAMN28408464	haploid (principal pseudohaplotype of diploid)	Chromosome	20 Jul 2022	Vertebrate Genomes Project	 1,631,568,913	49.48	primary	reptiles
59	GCA_024453875.1	GCA_024453875.1_ASM2445387v1	Scardinius erythrophthalmus	rudd (Europe DD20220513a primary hap 2022)	58319	SAMN28618522	haploid (principal pseudohaplotype of diploid)	Chromosome	27 Jul 2022	The Max Planck Institute of Molecular Cell Biology and Genetics	 1,135,838,337	49.98	secondary	fish
60	GCA_024803745.1	GCA_024803745.1_mThoBot1.0.p	Thomomys bottae	Botta's pocket gopher (bottae MVZ:Mamm:240275 primary hap 2022)	10013	SAMN29044214	haploid (principal pseudohaplotype of diploid)	Scaffold	01 Sep 2022	UCLA	 2,845,630,888	49.18	secondary	mammals
61	GCA_025201965.1	GCA_025201965.1_rGopFla2.pat.asm	Gopherus flavomarginatus	Mexican gopher tortoise (WGS:JAMKFD01 2022)	286002	SAMN24199108	haploid (paternal haplotype of diploid)	Scaffold	08 Sep 2022	Vertebrate Genomes Project	 2,584,697,711	45.21	secondary	reptiles
62	GCA_026018925.1	GCA_026018925.1_mTupTan1	Tupaia tana	large tree shrew (BS70 2022)	70687	SAMN07678117	haploid	Scaffold	07 Nov 2022	University of California, Davis	 2,948,294,157	46.75	primary	mammals
63	GCA_026229955.1	GCA_026229955.1_mPerMan1.0.p	Peromyscus maniculatus sonoriensis	North American deer mouse (MVZ:Mamm:240117 primary hap 2022)	372063	SAMN29044276	haploid (principal pseudohaplotype of diploid)	Scaffold	14 Nov 2022	UCLA	 2,847,741,276	48.05	primary	mammals
64	GCA_026230045.1	GCA_026230045.1_mCorTow1.0.hap2	Corynorhinus townsendii	Townsend's big-eared bat (haplotype 2 of 2 COTO_CA2020_CCGP 2022)	124745	SAMN31536067	haploid	Scaffold	18 Nov 2022	UCLA	 1,961,562,149	36.39	secondary	mammals
65	GCA_026230055.1	GCA_026230055.1_mCorTow1.0.hap1	Corynorhinus townsendii	Townsend's big-eared bat (haplotype 1 of 2 COTO_CA2020_CCGP 2022)	124745	SAMN31536067	haploid	Scaffold	18 Nov 2022	UCLA	 2,104,912,948	37.42	primary	mammals
66	GCA_026419985.1	GCA_026419985.1_mKogBre1_haplotype_2	Kogia breviceps	pygmy sperm whale (mKogBre1 haplotype 2 2022)	27615	SAMN31719513	haploid	Chromosome	27 Nov 2022	Genome 10K	 2,613,416,393	41.38	secondary	mammals
67	GCA_026652325.1	GCA_026652325.1_ASM2665232v1	Pleurodeles waltl	Iberian ribbed newt (20211129_DDA 2022 genbank)	8319	SAMN28911188	haploid	Chromosome	05 Dec 2022	The Max Planck Institute of Molecular Cell Biology and Genetics	20,300,798,037	71.01	primary	amphibians
68	GCA_027408225.1	GCA_027408225.1_bGalGal5.pri	Gallus gallus	chicken (Cobb bGalGal5 primary hap 2022)	9031	SAMN28017485	haploid (principal pseudohaplotype of diploid)	Chromosome	28 Dec 2022	Vertebrate Genomes Project	 1,109,044,877	18.25	secondary	birds
69	GCA_027410445.1	GCA_027410445.1_aDisPic1.pri	Discoglossus pictus	painted frog (primary hap 2022)	8351	SAMN32227109	haploid (principal pseudohaplotype of diploid)	Chromosome	28 Dec 2022	Vertebrate Genomes Project	 3,872,602,052	64.30	primary	amphibians
70	GCA_027474245.1	GCA_027474245.1_bSphHub1.pri	Spheniscus humboldti	Humboldt's penguin (bSphHub1 primary hap 2022)	9240	SAMN28408465	haploid (principal pseudohaplotype of diploid)	Chromosome	28 Dec 2022	Vertebrate Genomes Project	 1,358,357,718	16.34	primary	birds
71	GCA_027557775.1	GCA_027557775.1_bGalGal4.pri	Gallus gallus	chicken (Ross bGalGal4 primary hap 2023)	9031	SAMN28017486	haploid (principal pseudohaplotype of diploid)	Chromosome	03 Jan 2023	Vertebrate Genomes Project	 1,094,281,734	17.43	secondary	birds
72	GCA_027559615.1	GCA_027559615.1_bAcrTri1.pri	Acridotheres tristis	common myna (bArcTri1 primary hap 2023)	279927	SAMN28454388	haploid (principal pseudohaplotype of diploid)	Chromosome	09 Jan 2023	Vertebrate Genomes Project	 1,193,419,045	20.08	primary	birds
73	GCA_027563665.1	GCA_027563665.1_DD_ASM_mAP_20210503	Antrozous pallidus	pallid bat (TK200870 primary hap 2023)	9440	SAMN30225125	haploid (principal pseudohaplotype of diploid)	Chromosome	09 Jan 2023	Bat1K	 2,126,460,045	39.43	primary	mammals
74	GCA_027574665.1	GCA_027574665.1_bRhyJub1.pri	Rhynochetos jubatus	kagu (bRhyJub1 primary hap 2023)	54386	SAMN31802033	haploid (principal pseudohaplotype of diploid)	Chromosome	09 Jan 2023	Vertebrate Genomes Project	 1,331,454,348	17.50	primary	birds
75	GCA_027789725.1	GCA_027789725.1_aDenEbr1.mat	Dendropsophus ebraccatus	hourglass treefrog (maternal 2023 genbank)	150705	SAMN32145295	haploid (maternal haplotype of diploid)	Scaffold	13 Jan 2023	Vertebrate Genomes Project	 2,352,821,159	56.39	secondary	amphibians
76	GCA_027887205.1	GCA_027887205.1_rMalTer1.hap2	Malaclemys terrapin pileata	diamondback terrapin (hap2 rMalTer1 2023)	2991368	SAMN31394215	haploid	Chromosome	18 Jan 2023	Vertebrate Genomes Project	 2,212,837,039	46.36	secondary	reptiles
77	GCA_027917415.1	GCA_027917415.1_aGasCar1.hap2	Gastrophryne carolinensis	eastern narrow-mouthed toad (hap2 2023)	8429	SAMN31805274	haploid	Chromosome	18 Jan 2023	Vertebrate Genomes Project	 4,305,890,454	71.46	secondary	amphibians
78	GCA_027917425.1	GCA_027917425.1_aGasCar1.pri	Gastrophryne carolinensis	eastern narrow-mouthed toad (primary haplotype 2023)	8429	SAMN31805274	haploid	Chromosome	18 Jan 2023	Vertebrate Genomes Project	 4,336,248,441	71.19	primary	amphibians
79	GCA_027942865.1	GCA_027942865.1_fOdoBon6.hap1	Odontesthes bonariensis	pejerrey (fOdoBon6 haplotype 1 2023)	219752	SAMN31802211	haploid	Chromosome	24 Jan 2023	Vertebrate Genomes Project	   945,823,896	38.82	primary	fish
80	GCA_027942885.1	GCA_027942885.1_fOdoBon6.hap2	Odontesthes bonariensis	pejerrey (fOdoBon6 haplotype 2 2023)	219752	SAMN31802211	haploid	Scaffold	20 Jan 2023	Vertebrate Genomes Project	   974,945,057	40.81	secondary	fish
81	GCA_028017805.1	GCA_028017805.1_mBalRic1.hap1	Balaenoptera ricei	Rice's whale (hap1 2023)	2746895	SAMN32629060	haploid	Scaffold	26 Jan 2023	Vertebrate Genomes Project	 2,844,045,133	39.87	secondary	mammals
82	GCA_028017845.1	GCA_028017845.1_rEmyOrb1.hap2	Emys orbicularis	European pond turtle (hap2 rEmyOrb1 2023)	82168	SAMN31805221	haploid	Scaffold	26 Jan 2023	Vertebrate Genomes Project	 2,327,425,914	45.57	secondary	reptiles
83	GCA_028020825.1	GCA_028020825.1_bPodStr1.pri	Podargus strigoides	tawny frogmouth (bPodStr1 primary hap 2023)	8905	SAMN31801959	haploid (principal pseudohaplotype of diploid)	Chromosome	31 Jan 2023	Vertebrate Genomes Project	 1,271,141,449	27.67	primary	birds
84	GCA_028021495.1	GCA_028021495.1_fLycPai1.hap1	Lycodopsis pacificus	blackbelly eelpout (fLycPai1 haplotype 1 2023)	1772091	SAMN32629383	haploid	Scaffold	26 Jan 2023	Vertebrate Genomes Project	   661,271,547	30.40	secondary	fish
85	GCA_028022725.1	GCA_028022725.1_fLycPai1.hap2	Lycodopsis pacificus	blackbelly eelpout (fLycPai1 haplotype 2 2023)	1772091	SAMN32629383	haploid	Chromosome	31 Jan 2023	Vertebrate Genomes Project	   646,369,862	29.94	primary	fish
86	GCA_028022735.1	GCA_028022735.1_bGypBar2.pri	Gypaetus barbatus	lammergeier (bGypBar2 primary hap 2023)	33610	SAMN32256411	haploid (principal pseudohaplotype of diploid)	Chromosome	31 Jan 2023	Vertebrate Genomes Project	 1,365,299,843	17.56	primary	birds
87	GCA_028390055.1	GCA_028390055.1_aPseCor3.hap1	Pseudophryne corroboree	corroboree frog (hap1 2023)	495146	SAMN32631236	haploid	Scaffold	01 Feb 2023	Vertebrate Genomes Project	 8,945,609,516	76.17	secondary	amphibians
88	GCA_028451465.1	GCA_028451465.1_mEreDor1.pri	Erethizon dorsatum	North American porcupine (mEreDor1 primary hap 2023)	34844	SAMN32359106	haploid (principal pseudohaplotype of diploid)	Chromosome	06 Feb 2023	Vertebrate Genomes Project	 2,432,147,792	41.67	primary	mammals
89	GCA_028501385.1	GCA_028501385.1_bRisTri1.mat.cur.20221130	Rissa tridactyla	black-legged kittiwake (bRisTri1.mat 2023)	75485	SAMN32104255	haploid (maternal haplotype of diploid)	Chromosome	10 Feb 2023	Vertebrate Genomes Project	 1,268,441,171	18.86	secondary	birds
90	GCA_028571275.1	GCA_028571275.1_mEubGla1.hap1	Eubalaena glacialis	North Atlantic right whale (hap1 2023)	27606	SAMN32746534	haploid	Chromosome	09 Feb 2023	Vertebrate Genomes Project	 2,615,329,254	43.42	secondary	mammals
91	GCA_028571685.1	GCA_028571685.1_mHetBru1.pri	Heterohyrax brucei	yellow-spotted hyrax (mHetBru1 2023)	77598	SAMN33092455	haploid	Chromosome	10 Feb 2023	Vertebrate Genomes Project	 3,488,059,404	55.27	primary	mammals
92	GCA_028858555.1	GCA_028858555.1_bAraAra1.hap2	Ara ararauna	blue-and-yellow macaw (hap2 2023)	9226	SAMN33059336	haploid	Chromosome	24 Feb 2023	Vertebrate Genomes Project	 1,302,242,811	28.73	secondary	birds
93	GCA_028858595.1	GCA_028858595.1_bGruAme1.pat	Grus americana	whooping crane (paternal hap 2023)	9117	SAMN32775697	haploid (paternal haplotype of diploid)	Chromosome	24 Feb 2023	Vertebrate Genomes Project	 1,200,805,165	20.22	secondary	birds
94	GCA_028858625.2	GCA_028858625.2_bColStr4.1.hap2	Colius striatus	speckled mousebird (v2 hap2 2023)	57412	SAMN33339572	haploid	Chromosome	24 Feb 2023	Vertebrate Genomes Project	 1,153,503,718	25.49	secondary	birds
95	GCA_028858755.1	GCA_028858755.1_bAraAra1.hap1	Ara ararauna	blue-and-yellow macaw (hap1 2023)	9226	SAMN33059336	haploid	Chromosome	24 Feb 2023	Vertebrate Genomes Project	 1,224,360,198	24.87	primary	birds
96	GCA_028858805.2	GCA_028858805.2_NHGRI_mPanTro3-v2.0_alt	Pan troglodytes	chimpanzee (v2 AG18354 alternate hap 2024)	9598	SAMN30216104	alternate-pseudohaplotype	Complete Genome	08 Jan 2024	National Human Genome Research Institute, National Institutes of Health	 2,998,472,174	48.84	secondary	primates
97	GCA_028878085.3	GCA_028878085.3_NHGRI_mSymSyn1-v2.0_alt	Symphalangus syndactylus	siamang (v3 Jambi alternate hap 2024)	9590	SAMN30216103	alternate-pseudohaplotype	Chromosome	05 Jan 2024	National Human Genome Research Institute, National Institutes of Health	 3,097,367,794	55.60	secondary	primates
98	GCA_028885525.2	GCA_028885525.2_NHGRI_mPonPyg2-v2.0_alt	Pongo pygmaeus	Bornean orangutan (v2 AG05252 alternate hap 2024)	9600	SAMN10521809	alternate-pseudohaplotype	Chromosome	08 Jan 2024	National Human Genome Research Institute, National Institutes of Health	 3,007,136,161	53.74	secondary	primates
99	GCA_028885685.2	GCA_028885685.2_NHGRI_mPonAbe1-v2.0_alt	Pongo abelii	Sumatran orangutan (v2 AG06213 alternate hap 2024)	9601	SAMN10521808	alternate-pseudohaplotype	Chromosome	05 Jan 2024	National Human Genome Research Institute, National Institutes of Health	 3,000,996,708	53.59	secondary	primates
100	GCA_029215775.1	GCA_029215775.1_rAnnSte1.0.hap1	Anniella stebbinsi	San Diegan legless lizard (HBS135921 primary hap 2023)	2202111	SAMN33386066	haploid	Scaffold	14 Mar 2023	UCLA	 1,890,507,581	50.38	primary	reptiles
